Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,How involved in AI alignment are you? Please select all that apply. (6kkcmyw),Which of the following resources have you used to understand AI alignment research? (nwudv6g),resources,verbal_rating_scale,prob_rating_scale,How involved in AI alignment are you? Please select all that apply. (g4mdi50),involvement,"For how many years have you been interested in AI alignment research? Please enter an integer, rounded to the nearest year. (bu4zyb5)",category,Which of the following resources have you spent more than 30 minutes engaging with? (t0y9zda),"Overall, how useful have you found {resource}? (okdtv5m)",resource,"How likely would you be to recommend {resource} as an AI alignment resource to a friend getting into AI alignment, who hadn't already read widely in the space? (xf22i7s)",How likely would you be to recommend {resource} as an AI alignment resource to a friend who is paid to do AI alignment research? (b51q4lo),"If you'd like to go into detail about your answers about {resource}, you can do so here. (83afusr)","Please specify which researchers you're thinking of. Also, if you'd like to go into detail about your answers about {resource}, you can do so here. (bj70ff1)",Is there anything else you'd like to tell us? (bty6mmy),Where did you hear about this survey? (auqgbpq),"For how many years have you been paid to work on technical AI alignment research? Please enter an integer, rounded to the nearest year. (ub5lnfb)",fbclid
7390791,43,,2022-05-31 10:05:41,2022-05-31 10:08:03,2.37,t6togir,0,,,"[""the 80,000 Hours podcast""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I am interested in AI alignment research,I am trying to move into a technical AI alignment career","[""I am interested in AI alignment research"",""I am trying to move into a technical AI alignment career""]",1,I am trying to move into a technical AI alignment career,"the 80,000 Hours podcast",3,"the 80,000 Hours podcast",3,0,"",,"",80000 hours slack,,
7390884,43,,2022-05-31 10:52:46,2022-05-31 11:01:22,8.60,t6togir,0,,,"[""the FLI podcast"",""Unsolved Problems in ML Safety by Hendrycks et al"",""the ARCHES agenda by Andrew Critch and David Krueger"",""AGI Safety Fundamentals Course"",""the 80,000 Hours podcast"",""the ML Safety newsletter"",""conversations with AI alignment researchers at conferences"",""Concrete Problems in AI Safety by Amodei et al"",""Superintelligence (book)"",""AXRP - the AI X-risk Research Podcast"",""Rob Miles videos"",""the annual AI Alignment Literature Review and Charity Comparison"",""talks by AI alignment researchers"",""the Embedded Agency sequence on the Alignment Forum"",""Life 3.0 (book)"",""the AI Alignment Newsletter"",""Human Compatible (book)"",""the Iterated Amplification sequence on the Alignment Forum""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I have heard of AI alignment,I am interested in AI alignment research,I am trying to move into a technical AI alignment career,I spend some of my time solving technical problems related to AI alignment,I spend some of my time doing AI alignment field/community-building,I spend some of my time facilitating technical AI alignment research in ways other than doing it directly,I spend some of my time publicly communicating about AI alignment,I am paid to work on technical AI alignment research,I help run an organization with an AI alignment mission (e.g. CHAI, MIRI, Anthropic)","[""I have heard of AI alignment"",""I am interested in AI alignment research"",""I am trying to move into a technical AI alignment career"",""I spend some of my time solving technical problems related to AI alignment"",""I spend some of my time doing AI alignment field/community-building"",""I spend some of my time facilitating technical AI alignment research in ways other than doing it directly"",""I spend some of my time publicly communicating about AI alignment"",""I am paid to work on technical AI alignment research"",""I help run an organization with an AI alignment mission (e.g. CHAI, MIRI, Anthropic)""]",1,"I help run an organization with an AI alignment mission (e.g. CHAI, MIRI, Anthropic)","the FLI podcast,Unsolved Problems in ML Safety by Hendrycks et al,the ARCHES agenda by Andrew Critch and David Krueger,AGI Safety Fundamentals Course,the 80,000 Hours podcast,the ML Safety newsletter,conversations with AI alignment researchers at conferences,Concrete Problems in AI Safety by Amodei et al,Superintelligence (book),AXRP - the AI X-risk Research Podcast,Rob Miles videos,the annual AI Alignment Literature Review and Charity Comparison,talks by AI alignment researchers,the Embedded Agency sequence on the Alignment Forum,Life 3.0 (book),the AI Alignment Newsletter,Human Compatible (book),the Iterated Amplification sequence on the Alignment Forum",1 | 1 | 2 | 1 | 1 | 4 | 0 | 3 | 2 | 4 | 1 | 3 | 2 | 4 | 1 | 2 | 3 | 1 | 2 | 3 | 1 | 2,the Iterated Amplification sequence on the Alignment Forum,0 | 0 | 1 | 0 | 2 | 4 | 0 | 4 | 2 | 1 | 0 | 3 | 2 | 2 | 0 | 0 | 1 | 3 | 0 | 1 | 3 | 0,0 | 0 | 0 | 1 | 2 | 4 | 0 | 4 | 0 | 4 | 0 | 0 | 1 | 4 | 2 | 2 | 3 | 1 | 2 | 3 | 1 | 2," | The guest list is good, but the interviewer is just really frustratingly bad at making the interviews productive. |  |  | The curriculum confusing and often way less persuasive than it should, but it's still really valuable for a field to have a clear set of shared knowledge, and this seems like the closest thing we have. |  |  |  |  | Good guest list, but badly produced, meandering episodes. |  |  | Doesn't seem relevant to most current important work, but still gets at questions that people are likely to keep having. | I read this a couple of years before I got interested in alignment and it did nothing to convince me. That said, it's still clear and interesting. |  |  |  |  |  | ", | , | , | Constellation Slack,1,
7394585,43,,2022-06-01 13:46:14,,0.00,eb2kjj8,0,,,,,,,,,,,,,,,,,,,,
7396022,43,,2022-06-01 23:45:44,,3.32,8d2bvx6,0,,,"[""the Value Learning sequence on the Alignment Forum"",""talks by AI alignment researchers"",""Human Compatible (book)"",""the Iterated Amplification sequence on the Alignment Forum"",""conversations with AI alignment researchers at conferences"",""AGI Safety Fundamentals Course"",""the 80,000 Hours podcast"",""the annual AI Alignment Literature Review and Charity Comparison"",""Scalable agent alignment via reward modeling: a research direction by Leike et al (aka \""the recursive reward modelling agenda\"")""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I have heard of AI alignment,I am interested in AI alignment research,I am trying to move into a technical AI alignment career,I spend some of my time solving technical problems related to AI alignment,I am paid to work on technical AI alignment research","[""I have heard of AI alignment"",""I am interested in AI alignment research"",""I am trying to move into a technical AI alignment career"",""I spend some of my time solving technical problems related to AI alignment"",""I am paid to work on technical AI alignment research""]",1,I am paid to work on technical AI alignment research,"the Value Learning sequence on the Alignment Forum,talks by AI alignment researchers,Human Compatible (book),the Iterated Amplification sequence on the Alignment Forum,conversations with AI alignment researchers at conferences,AGI Safety Fundamentals Course,the 80,000 Hours podcast,the annual AI Alignment Literature Review and Charity Comparison,Scalable agent alignment via reward modeling: a research direction by Leike et al (aka ""the recursive reward modelling agenda"")",,,,,,,,,0,
7396026,43,,2022-06-01 23:46:54,2022-06-01 23:48:40,1.77,t6togir,0,,,"[""the ML Safety newsletter"",""Unsolved Problems in ML Safety by Hendrycks et al""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I help run an organization with an AI alignment mission (e.g. CHAI, MIRI, Anthropic) | I spend some of my time solving technical problems related to AI alignment,I spend some of my time doing AI alignment field/community-building,I spend some of my time facilitating technical AI alignment research in ways other than doing it directly,I spend some of my time publicly communicating about AI alignment,I am paid to work on technical AI alignment research,I help run an organization with an AI alignment mission (e.g. CHAI, MIRI, Anthropic)","[""I spend some of my time solving technical problems related to AI alignment"",""I spend some of my time doing AI alignment field/community-building"",""I spend some of my time facilitating technical AI alignment research in ways other than doing it directly"",""I spend some of my time publicly communicating about AI alignment"",""I am paid to work on technical AI alignment research"",""I help run an organization with an AI alignment mission (e.g. CHAI, MIRI, Anthropic)""]",,"I help run an organization with an AI alignment mission (e.g. CHAI, MIRI, Anthropic)","the ML Safety newsletter,Unsolved Problems in ML Safety by Hendrycks et al",3 | 3,Unsolved Problems in ML Safety by Hendrycks et al,2 | 4,4 | 4, | ,,"","",4,
7396029,43,,2022-06-01 23:50:24,,0.00,eb2kjj8,0,,,,,,,,,,,,,,,,,,,,
7396030,43,,2022-06-01 23:50:29,,0.05,4t3j1q5,0,,,,,,,,,,,,,,,,,,,,
7396033,43,,2022-06-01 23:51:54,,2427.08,4t3j1q5,0,,,,,,,,,,,,,,,,,,,,
7396034,43,,2022-06-01 23:52:56,2022-06-02 00:00:18,7.37,t6togir,0,,,"[""the Embedded Agency sequence on the Alignment Forum"",""AXRP - the AI X-risk Research Podcast"",""Superintelligence (book)"",""AGI Safety Fundamentals Course"",""the 80,000 Hours podcast"",""the AI Alignment Newsletter"",""the FLI podcast""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I have heard of AI alignment,I am interested in AI alignment research,I am trying to move into a technical AI alignment career,I spend some of my time solving technical problems related to AI alignment,I am paid to work on technical AI alignment research","[""I have heard of AI alignment"",""I am interested in AI alignment research"",""I am trying to move into a technical AI alignment career"",""I spend some of my time solving technical problems related to AI alignment"",""I am paid to work on technical AI alignment research""]",6,I am paid to work on technical AI alignment research,"the Embedded Agency sequence on the Alignment Forum,the FLI podcast,Superintelligence (book),AXRP - the AI X-risk Research Podcast,Rob Miles videos,AGI Safety Fundamentals Course,the AI Alignment Newsletter,the 80,000 Hours podcast | the Embedded Agency sequence on the Alignment Forum,AXRP - the AI X-risk Research Podcast,Superintelligence (book),AGI Safety Fundamentals Course,the 80,000 Hours podcast,the AI Alignment Newsletter,the FLI podcast",1 | 1 | 3 | 3 | 1 | 1 | 3 | 3 | 4 | 3 | 1,the FLI podcast,0 | 0 | 0 | 3 | 0 | 0 | 0 | 3 | 1 | 2 | 0,1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 0, |  | It was hugely useful because it was THE THING that got me interested in AI alignment. These days there are a lot better resources around though. | I think the Christiano and Ngo episodes are great introductions to the alignment problem and serve as interesting overviews for people who have more experience. The Wentworth one is also great. |  |  | It was hugely useful because it was THE THING that got me interested in AI alignment. These days there are a lot better resources around though. | I think the Christiano and Ngo episodes are great introductions to the alignment problem and serve as interesting overviews for people who have more experience. The Wentworth one is also great. |  |  | ,,The risks from learned optimizers paper is a great intro to inner alignment issues. I think having a more accessible version of it would be good.,CHAI slack,0,
7396041,43,,2022-06-01 23:55:14,,0.00,eb2kjj8,0,,,,,,,,,,,,,,,,,,,,
7396133,43,,2022-06-02 00:47:03,,0.53,t0y9zda,0,,,,,,I am paid to work on technical AI alignment research,"[""I am paid to work on technical AI alignment research""]",,I am paid to work on technical AI alignment research,,,,,,,,,,0,
7396168,43,,2022-06-02 01:05:30,,0.00,eb2kjj8,0,,,,,,,,,,,,,,,,,,,,
7396279,43,,2022-06-02 02:06:12,,1.78,8d2bvx6,0,,,"[""talks by AI alignment researchers"",""conversations with AI alignment researchers at conferences"",""Life 3.0 (book)"",""the AI Alignment Newsletter""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I am trying to move into a technical AI alignment career,I spend some of my time doing AI alignment field/community-building,I am paid to work on technical AI alignment research","[""I am trying to move into a technical AI alignment career"",""I spend some of my time doing AI alignment field/community-building"",""I am paid to work on technical AI alignment research""]",,I am paid to work on technical AI alignment research,"talks by AI alignment researchers,conversations with AI alignment researchers at conferences,Life 3.0 (book),the AI Alignment Newsletter",,,,,,,,,1,
7396583,43,,2022-06-02 05:11:46,,2.65,8d2bvx6,0,,,"[""the Machine Learning for Alignment Bootcamp"",""The Alignment Problem (book)"",""the annual AI Alignment Literature Review and Charity Comparison"",""the AI Alignment Newsletter"",""AIRCS workshops"",""AI Safety Camp"",""AGI Safety Fundamentals Course"",""conversations with AI alignment researchers at conferences"",""AXRP - the AI X-risk Research Podcast"",""the 80,000 Hours podcast"",""the ML Safety newsletter"",""the Embedded Agency sequence on the Alignment Forum"",""Rob Miles videos"",""Concrete Problems in AI Safety by Amodei et al"",""the Iterated Amplification sequence on the Alignment Forum"",""Human Compatible (book)"",""Scalable agent alignment via reward modeling: a research direction by Leike et al (aka \""the recursive reward modelling agenda\"")"",""the FLI podcast"",""the ARCHES agenda by Andrew Critch and David Krueger"",""talks by AI alignment researchers"",""Superintelligence (book)"",""the Value Learning sequence on the Alignment Forum""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]",I am paid to work on technical AI alignment research,"[""I am paid to work on technical AI alignment research""]",,I am paid to work on technical AI alignment research,"the Machine Learning for Alignment Bootcamp,The Alignment Problem (book),the annual AI Alignment Literature Review and Charity Comparison,the AI Alignment Newsletter,AIRCS workshops,AI Safety Camp,AGI Safety Fundamentals Course,conversations with AI alignment researchers at conferences,AXRP - the AI X-risk Research Podcast,the 80,000 Hours podcast,the ML Safety newsletter,the Embedded Agency sequence on the Alignment Forum,Rob Miles videos,Concrete Problems in AI Safety by Amodei et al,the Iterated Amplification sequence on the Alignment Forum,Human Compatible (book),Scalable agent alignment via reward modeling: a research direction by Leike et al (aka ""the recursive reward modelling agenda""),the FLI podcast,the ARCHES agenda by Andrew Critch and David Krueger,talks by AI alignment researchers,Superintelligence (book),the Value Learning sequence on the Alignment Forum",,,,,,,,,4,
7398077,43,,2022-06-02 15:19:18,,0.80,4t3j1q5,0,,,,,,,,,,,,,,,,,,,,
7401899,43,,2022-06-03 15:52:54,2022-06-03 16:02:59,10.08,t6togir,0,,,"[""the ML Safety newsletter"",""conversations with AI alignment researchers at conferences"",""Concrete Problems in AI Safety by Amodei et al"",""Unsolved Problems in ML Safety by Hendrycks et al""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I am interested in AI alignment research,I am paid to work on technical AI alignment research","[""I am interested in AI alignment research"",""I am paid to work on technical AI alignment research""]",2,I am paid to work on technical AI alignment research,"the ML Safety newsletter,conversations with AI alignment researchers at conferences,Concrete Problems in AI Safety by Amodei et al,Unsolved Problems in ML Safety by Hendrycks et al",2 | 1 | 1 | 1,Unsolved Problems in ML Safety by Hendrycks et al,2 | 1 | 3 | 3,3 | 3 | 0 | 1,It doesn't serve as introductory materials moreso as a summarization and a nice way to keep up with what is going on in the literature/research with regards to AI Safety. | It does serve as a nice high level overview of the problems.  I just didn't find very much of it actually actionable personally. | This also gives a nice overview of the space and tries to orient researchers early on in their careers.  For more seasoned researchers I'd recommend skimming it as they might already know quite a few of the ideas.,This one is tough because it depends on the researcher.  Some are more approachable then others.  You'd have to get more familiar with the work to be able to talk to some and other researchers are more approachable for complete newbies.,"",AI-X Risk Slack,1,
7401998,43,,2022-06-03 16:33:52,,0.00,eb2kjj8,0,,,,,,,,,,,,,,,,,,,,
